company,funds_raised_millions,total_laid_off
ID.me,275,130
Ideoclick,7,40
iFit,200,300
Iflix,348,50
iFood,2100,355
Ike,52,10
Illumina,28,500
"Immersive Labs",123,38
Immutable,279,20
Impala,32,30
"Imperfect Foods",229,50
"Impossible Foods",1900,50
"Impossible Foods copy",1900,140
"Incredible Health",15,9
InDebted,41,40
Indigo,1200,80
Industrious,222,90
Infarm,604,50
Infarm,604,500
InfluxData,119,65
InfoSum,88,20
Inmobi,320,50
Innovaccer,379,90
Innovaccer,379,245
Innovid,295,40
Inscripta,459,43
Inspirato,179,109
Inspirato,79,130
Instacart,2400,1877
Instamojo,8,6
Instructure,89,150
"Integral Ad Science",116,70
"Integral Ad Science",116,120
Integrate.ai,40,26
Intel,12,201
Intel,12,343
Intercom,240,39
Intercom,240,49
Intercom,240,124
Introhive,125,57
Intuit,18,715
InVision,356,22
Invitae,2000,1000
Involves,23,70
"iPrice Group",26,50
"Iris Nova",15,9
IRL,197,25
iRobot,30,85
iRobot,30,140
"Iron Ox",103,50
IronNet,410,55
IronNet,410,90
"Jam City",652,200
Jama,233,12
JD.ID,5100,200
Jellysmack,22,208
JetClosing,24,20
Jetty,40,35
Jimdo,28,50
Jiobit,12,6
Jobcase,118,39
JOKR,430,50
Jumia,1200,900
Jumio,205,100
Jump,11,500
Jumpcloud,416,100
Juni,281,72
"Just Eat Takeaway",2800,390
Juul,1500,400
Juul,1500,900
Kabam,244,35
Kaltura,166,75
Karat,169,47
Katerra,1200,240
Katerra,1300,400
Katerra,1600,2434
Kavak,1600,150
"Kayak / OpenTable",229,160
KeepTruckin,227,349
Kenoby,23,18
Khoros,138,120
Kiavi,240,39
Kickstarter,10,25
Kinde,10,8
Kitopi,804,93
Kitopi,89,124
"Kitty Hawk",1,70
"Kitty Hawk",1,100
KiwiCo,11,40
Klarna,3700,100
Klarna,3700,700
Klook,521,300
Knock,654,115
Knotel,560,20
Knotel,560,127
"Kodiak Robotics",40,15
Koho,278,15
KoinWorks,180,70
"Komodo Health",50,23
"Komodo Health",514,78
Konfio,706,180
Kongregate,19,12
Kontist,53,50
Koo,44,40
Kraken,134,1100
Kry,568,100
Kry,568,300
Kuda,91,23
Kueski,38,90
Kyruus,183,70
Labelbox,188,36
Labster,34,40
Lacework,1900,300
"Ladder Life",94,13
"Lambda School",48,19
"Lambda School",122,65
Landing,347,110
Lastline,52,50
Latch,342,30
Latch,152,60
Latch,342,115
Latch,342,130
Lattice,328,13
Lattice,49,16
Lawgeex,41,30
Laybuy,130,45
LEAD,190,60
LEAD,166,80
LeafLink,379,80
Leafly,71,56
Leafly,2,91
LearnUpon,56,27
Legible,3,23
Lemon,17,100
Lemonade,481,52
Lendi,59,100
"Lending Club",392,225
"Lending Club",392,460
Lendingkart,200,500
Lendis,90,18
Lev,114,30
Lever,72,86
Lido,24,150
Liftoff,6,130
"Lighter Capital",15,18
"Lighter Capital",15,22
Lightico,42,20
Lightico,42,20
Lightricks,335,80
"Lightspeed Commerce",1200,300
Lime,765,80
LinkedIn,154,960
Linkfire,2,35
Linktree,165,50
Lithic,115,27
"Liv Up",118,100
LivePerson,42,30
LivePerson,42,193
LiveTiles,46,50
Livspace,157,450
Loft,263,47
Loft,263,47
Loft,788,159
Loft,788,312
Loft,788,340
Loft,788,384
Loftium,17,32
Loftsmart,18,25
Loggi,507,300
Loggi,507,500
Lokalise,56,76
Lola,81,34
Loom,203,23
Loom,203,34
Loop,24,15
Loopio,11,11
LoopMe,32,8
"Lucira Health",132,26
Lummo,149,150
Lunchbox,72,60
Luno,13,330
Lusha,245,30
"Luxury Presence",31,44
Lyft,4900,60
Lyft,4900,700
Lyft,4900,982
Lyric,179,100
Lyst,144,50
M1,323,38
MadeiraMadeira,338,60
"Magic Eden",170,22
"Magic Leap",2600,1000
Magicbricks,300,250
Mainstreet,64,45
MakeMyTrip,548,350
MakeMyTrip,548,350
MakerBot,10,12
Malwarebytes,80,125
Mapbox,334,64
Marketforce,42,54
MasterClass,461,79
MasterClass,461,120
Matrixport,100,29
Matterport,114,90
Maven,77,31
McMakler,214,90
McMakler,214,100
Medallia,325,59
MediaMath,607,53
MediBuddy,192,200
Meero,293,350
Meesho,1100,150
Meesho,215,200
Meesho,1100,300
Mejuri,28,36
Mejuri,28,50
Melio,504,60
"Meow Wolf",185,201
Mercos,2,51
Meta,26000,11000
Metigy,18,75
Metromile,510,60
Metromile,293,100
MFine,97,600
Microsoft,1,10000
MindBody,114,400
MindBody,114,700
Mindstrong,160,127
Minted,297,147
"Minute Media",160,50
Miro,476,119
"Misfits Market",526,649
Mixpanel,77,65
"Mobile Premier League",375,100
"Mode Analytics",46,17
"Mode Analytics",81,25
Moglix,472,40
Mogo,201,78
Moladin,138,360
Momentive,1100,180
Monese,80,35
Monzo,324,165
Monzo,324,120
Moss,150,70
Motive,567,237
Movidesk,1,33
Mozilla,2,250
Mural,192,90
Mux,173,40
MX,450,200
MyGate,79,200
N26,782,9
Namely,217,110
Namogoo,69,20
Namogoo,69,25
Nate,47,30
Nate,47,30
Nav,99,30
Navi,582,40
nCino,1100,100
Neon,120,70
Neon,720,210
Nestcoin,6,30
Netflix,121900,25
Netflix,121900,30
Netflix,121900,150
Netflix,121900,300
Netlify,212,48
"New Relic",215,20
"New Relic",214,110
"New Relic",215,160
"Next Insurance",881,150
Niantic,770,85
Ninjacart,194,200
"Nomad Health",218,119
Noom,657,495
Noom,657,500
Notarize,213,60
Notarize,213,110
NS8,158,240
NSO,1,100
Numbrs,78,62
NuoDB,85,20
Nuri,42,45
Nuro,2100,7
Nuro,2100,300
Nutanix,1100,270
NYDIG,1400,110
Nylas,175,80
Ocavu,11,20
Oda,479,70
Oda,477,70
Oda,377,70
"OFFOR Health",14,16
"Oh My Green",20,40
OKCredit,85,30
Okta,1200,24
Okta,1200,300
Ola,5000,200
Ola,5000,1000
Ola,3800,1400
Olive,856,450
