company,funds_raised_millions,percentage_laid_off
Mural,192,0.1
Mux,173,0.2
MyGate,79,0.3
"Mythical Games",260,0.1
N26,782,0.01
Namely,217,0.4
Namogoo,69,0.15
Namogoo,69,0.15
NanoString,731,0.1
Nate,47,0.2
Nativo,35,0.4
Navi,582,0.25
nCino,1100,0.07
NCSoft,240,0.2
NCX,78,0.4
Nearmap,15,0.1
Nearmap,15,0.2
Neon,120,0.1
Neon,720,0.09
Nerdy,150,0.17
Netflix,121900,0.01
Netflix,121900,0.03
Netlify,212,0.16
"New Relic",214,0.05
"New Relic",215,0.07
"Next Insurance",881,0.17
Nextiva,200,0.17
NextRoll,108,0.03
NextRoll,108,0.07
Niantic,770,0.08
Nomad,290,0.2
"Nomad Health",218,0.17
Noom,657,0.1
Notarize,213,0.25
"Nova Benefits",41,0.3
NS8,158,0.95
NSO,1,0.14
Numbrs,78,0.5
NuoDB,85,0.29
Nuri,42,1
Nuri,42,0.2
Nuro,2100,0.2
Nutanix,1100,0.04
NYDIG,1400,0.33
Nylas,175,0.25
Nyriad,58,0.33
Ocavu,11,0.48
"Octopus Network",8,0.4
Oda,479,0.06
Oda,477,0.18
Oda,377,0.18
Offerpad,355,0.07
OfferUp,381,0.19
Okta,1200,0.05
Ola,3800,0.35
Olive,856,0.31
"Olive AI",856,0.35
Omie,26,0.31
"On Deck",20,0.25
"On Deck",20,0.33
OneFootball,442,0.115
OneFootball,442,0.32
OneStudyTeam,479,0.25
OneTrust,410,0.1
OneTrust,926,0.25
OneWeb,3000,0.85
OPay,170,0.7
Opencare,24,0.25
Opendoor,1900,0.18
Opendoor,1500,0.35
Openpay,299,1
OpenSea,427,0.2
OpenText,1100,0.08
OpenWeb,223,0.05
OpenX,70,0.15
Oportun,566,0.1
Optimizely,251,0.15
OrCam,86,0.16
Orchard,472,0.1
Oriente,175,0.2
"Oscar Health",1300,0.05
Otonomo,231,0.5
Ouster,282,0.1
Ouster,132,0.1
OutboundEngine,48,0.28
Outbrain,394,0.03
Outreach,489,0.05
Outreach,489,0.07
Outschool,240,0.18
Outschool,240,0.25
Outside,174,0.12
Outside,174,0.15
Overtime,35,0.23
OwnBackup,507,0.17
"Oye Rickshaw",13,0.2
"Ozy Media",70,1
Pacaso,217,0.3
Packable,472,0.2
Paddle,293,0.08
Pagaya,571,0.2
PagerDuty,173,0.07
PaisaBazaar,496,0.5
Palantir,3000,0.02
"Panda Squad",1,0.75
Papa,241,0.15
Parler,36,0.75
Parsable,72,0.25
PartnerStack,36,0.2
PatientPop,75,0.2
Patreon,165,0.13
Patreon,413,0.17
"Pavilion Data",103,0.96
PayFit,495,0.2
PayJoy,71,0.25
PayPal,216,0.07
"Pear Therapeutics",409,0.22
"Pear Therapeutics",409,0.09
Pebblepost,81,0.6
"Pecan AI",116,0.25
Peerfit,47,0.4
Peerspace,34,0.75
PeerStreet,110,0.3
Peloton,1900,0.12
Peloton,1900,0.13
Peloton,1900,0.2
Pendo,469,0.05
People.ai,100,0.18
"Perceptive Automata",20,1
"Perimeter 81",165,0.08
Perion,76,0.05
PerkSpot,50,0.1
Permutive,105,0.12
Personalis,225,0.3
Personetics,178,0.08
Pesto,6,1
PhableCare,40,0.7
PickYourTrail,3,0.35
"Pico Interactive",62,0.2
PicoBrew,15,1
Picsart,195,0.08
Pier,42,0.39
Pipedrive,90,0.15
Pipl,19,0.13
Pitch,137,0.3
Plaid,734,0.2
Planetly,5,1
Plato,3,0.5
Playdots,10,1
Pleo,428,0.15
Plerk,13,0.4
Pliops,205,0.09
Plum,20,0.1
Pluralsight,192,0.2
"Plus One Robotics",43,0.1
"Pocket Aces",19,0.25
Pocketmath,20,1
Podium,419,0.12
PolicyGenius,286,0.25
Pollen,238,1
Pollen,88,0.31
Pollen,238,0.33
Polly,184,0.15
Polygon,451,0.2
"Pomelo Fashion",120,0.08
Popin,13,1
Poshmark,153,0.02
Postmates,763,0.15
Preply,100,0.05
"Prime Trust",176,0.33
Primer,73,0.33
Prisma,56,0.28
Procore,649,0.09
Project44,817,0.05
